[rank=1, song=Rockstar, lastweek=0, imagesrc=null, artist=DaBaby Featuring Roddy Ricch]
[rank=2, song=Whats Poppin, lastweek=0, imagesrc=null, artist=Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne]
[rank=3, song=Blinding Lights, lastweek=0, imagesrc=null, artist=The Weeknd]
[rank=4, song=Savage, lastweek=0, imagesrc=null, artist=Megan Thee Stallion Featuring Beyonce]
[rank=5, song=Roses, lastweek=0, imagesrc=null, artist=SAINt JHN]
[rank=6, song=Say So, lastweek=0, imagesrc=null, artist=Doja Cat Featuring Nicki Minaj]
[rank=7, song=Intentions, lastweek=0, imagesrc=null, artist=Justin Bieber Featuring Quavo]
[rank=8, song=Watermelon Sugar, lastweek=0, imagesrc=null, artist=Harry Styles]
[rank=9, song=Blueberry Faygo, lastweek=0, imagesrc=null, artist=Lil Mosey]
[rank=10, song=We Paid, lastweek=0, imagesrc=null, artist=Lil Baby & 42 Dugg]
[rank=11, song=Adore You, lastweek=0, imagesrc=null, artist=Harry Styles]
[rank=12, song=Rain On Me, lastweek=0, imagesrc=null, artist=Lady Gaga & Ariana Grande]
[rank=13, song=Circles, lastweek=0, imagesrc=null, artist=Post Malone]
[rank=14, song=The Bigger Picture, lastweek=0, imagesrc=null, artist=Lil Baby]
[rank=15, song=Don't Start Now, lastweek=0, imagesrc=null, artist=Dua Lipa]
[rank=16, song=The Box, lastweek=0, imagesrc=null, artist=Roddy Ricch]
[rank=17, song=The Bones, lastweek=0, imagesrc=null, artist=Maren Morris]
[rank=18, song=Life Is Good, lastweek=0, imagesrc=null, artist=Future Featuring Drake]
[rank=19, song=Falling, lastweek=0, imagesrc=null, artist=Trevor Daniel]
[rank=20, song=Break My Heart, lastweek=0, imagesrc=null, artist=Dua Lipa]
[rank=21, song=I Hope, lastweek=0, imagesrc=null, artist=Gabby Barrett]
[rank=22, song=One Margarita, lastweek=0, imagesrc=null, artist=Luke Bryan]
[rank=23, song=Sunday Best, lastweek=0, imagesrc=null, artist=Surfaces]
[rank=24, song=Death Bed, lastweek=0, imagesrc=null, artist=Powfu Featuring beabadoobee]
[rank=25, song=Before You Go, lastweek=0, imagesrc=null, artist=Lewis Capaldi]
[rank=26, song=Toosie Slide, lastweek=0, imagesrc=null, artist=Drake]
[rank=27, song=Hard To Forget, lastweek=0, imagesrc=null, artist=Sam Hunt]
[rank=28, song=Girls In The Hood, lastweek=0, imagesrc=null, artist=Megan Thee Stallion]
[rank=29, song=Party Girl, lastweek=0, imagesrc=null, artist=StaySolidRocky]
[rank=30, song=Go Crazy, lastweek=0, imagesrc=null, artist=Chris Brown & Young Thug]
[rank=31, song=Savage Love (Laxed - Siren Beat), lastweek=0, imagesrc=null, artist=Jawsh 685 x Jason Derulo]
[rank=32, song=Chasin' You, lastweek=0, imagesrc=null, artist=Morgan Wallen]
[rank=33, song=How You Like That, lastweek=0, imagesrc=null, artist=BLACKPINK]
[rank=34, song=Stuck With U, lastweek=0, imagesrc=null, artist=Ariana Grande & Justin Bieber]
[rank=35, song=Bluebird, lastweek=0, imagesrc=null, artist=Miranda Lambert]
[rank=36, song=High Fashion, lastweek=0, imagesrc=null, artist=Roddy Ricch Featuring Mustard]
[rank=37, song=Emotionally Scarred, lastweek=0, imagesrc=null, artist=Lil Baby]
[rank=38, song=The Scotts, lastweek=0, imagesrc=null, artist=THE SCOTTS, Travis Scott & Kid Cudi]
[rank=39, song=Be Kind, lastweek=0, imagesrc=null, artist=Marshmello & Halsey]
[rank=40, song=Walk Em Down, lastweek=0, imagesrc=null, artist=NLE Choppa Featuring Roddy Ricch]
[rank=41, song=Supalonely, lastweek=0, imagesrc=null, artist=BENEE Featuring Gus Dapperton]
[rank=42, song=Memories, lastweek=0, imagesrc=null, artist=Maroon 5]
[rank=43, song=Nobody But You, lastweek=0, imagesrc=null, artist=Blake Shelton Duet With Gwen Stefani]
[rank=44, song=Dior, lastweek=0, imagesrc=null, artist=Pop Smoke]
[rank=45, song=Die From A Broken Heart, lastweek=0, imagesrc=null, artist=Maddie & Tae]
[rank=46, song=Hot Girl Bummer, lastweek=0, imagesrc=null, artist=blackbear]
[rank=47, song=Here And Now, lastweek=0, imagesrc=null, artist=Kenny Chesney]
[rank=48, song=I Love My Country, lastweek=0, imagesrc=null, artist=Florida Georgia Line]
[rank=49, song=Wash Us In The Blood, lastweek=0, imagesrc=null, artist=Kanye West Featuring Travis Scott]
